//número de Pontos
 n = 35


//Coordenadas dos Pontos 
9, 5
59, 65
81, 77
4, 94
12, 86
7, 54
59, 87
40, 56
40, 35
61, 83
100, 69
48, 35
47, 41
52, 73
66, 1
89, 67
22, 48
63, 39
80, 8
29, 21
36, 34
36, 46
90, 1
10, 30
49, 12
93, 27
82, 40
56, 51
13, 48
43, 41
23, 56
38, 20
31, 62
46, 51
41, 8


D = [
   [0,  78, 102,  89,  81,  49,  96,  60,  43,  94, 111,  49,  52,  80,  57, 101,  45,  64,  71,  26,  40,  49,  81,  25,  41,  87,  81,  66,  43,  50,  53,  33,  61,  59,  32   ]
[78,   0,  25,  62,  51,  53,  22,  21,  36,  18,  41,  32,  27,  11,  64,  30,  41,  26,  61,  53,  39,  30,  71,  60,  54,  51,  34,  14,  49,  29,  37,  50,  28,  19,  60   ]
[102,  25,   0,  79,  70,  77,  24,  46,  59,  21,  21,  53,  50,  29,  77,  13,  66,  42,  69,  76,  62,  55,  77,  85,  72,  51,  37,  36,  74,  52,  62,  71,  52,  44,  80   ]
[89,  62,  79,   0,  11,  40,  55,  52,  69,  58,  99,  74,  68,  52, 112,  89,  49,  81, 115,  77,  68,  58, 127,  64,  94, 111,  95,  67,  47,  66,  42,  81,  42,  60,  94   ]
[81,  51,  70,  11,   0,  32,  47,  41,  58,  49,  90,  62,  57,  42, 101,  79,  39,  69, 103,  67,  57,  47, 115,  56,  83, 100,  84,  56,  38,  55,  32,  71,  31,  49,  83   ]
[49,  53,  77,  40,  32,   0,  62,  33,  38,  61,  94,  45,  42,  49,  79,  83,  16,  58,  86,  40,  35,  30,  98,  24,  59,  90,  76,  49,   8,  38,  16,  46,  25,  39,  57   ]
[96,  22,  24,  55,  47,  62,   0,  36,  55,   4,  45,  53,  48,  16,  86,  36,  54,  48,  82,  72,  58,  47,  91,  75,  76,  69,  52,  36,  60,  49,  48,  70,  38,  38,  81   ]
[60,  21,  46,  52,  41,  33,  36,   0,  21,  34,  61,  22,  17,  21,  61,  50,  20,  29,  62,  37,  22,  11,  74,  40,  45,  60,  45,  17,  28,  15,  17,  36,  11,   8,  48   ]
[43,  36,  59,  69,  58,  38,  55,  21,   0,  52,  69,   8,   9,  40,  43,  59,  22,  23,  48,  18,   4,  12,  60,  30,  25,  54,  42,  23,  30,   7,  27,  15,  28,  17,  27   ]
[94,  18,  21,  58,  49,  61,   4,  34,  52,   0,  41,  50,  44,  13,  82,  32,  52,  44,  77,  70,  55,  45,  87,  74,  72,  64,  48,  32,  59,  46,  47,  67,  37,  35,  78   ]
[111,  41,  21,  99,  90,  94,  45,  61,  69,  41,   0,  62,  60,  48,  76,  11,  81,  48,  64,  86,  73,  68,  69,  98,  76,  43,  34,  48,  89,  64,  78,  79,  69,  57,  85   ]
[49,  32,  53,  74,  62,  45,  53,  22,   8,  50,  62,   0,   6,  38,  38,  52,  29,  16,  42,  24,  12,  16,  54,  38,  23,  46,  34,  18,  37,   8,  33,  18,  32,  16,  28   ]
[52,  27,  50,  68,  57,  42,  48,  17,   9,  44,  60,   6,   0,  32,  44,  49,  26,  16,  47,  27,  13,  12,  59,  39,  29,  48,  35,  13,  35,   4,  28,  23,  26,  10,  34   ]
[80,  11,  29,  52,  42,  49,  16,  21,  40,  13,  48,  38,  32,   0,  73,  37,  39,  36,  71,  57,  42,  31,  81,  60,  61,  62,  45,  22,  46,  33,  34,  55,  24,  23,  66   ]
[57,  64,  77, 112, 101,  79,  86,  61,  43,  82,  76,  38,  44,  73,   0,  70,  64,  38,  16,  42,  45,  54,  24,  63,  20,  37,  42,  51,  71,  46,  70,  34,  70,  54,  26   ]
[101,  30,  13,  89,  79,  83,  36,  50,  59,  32,  11,  52,  49,  37,  70,   0,  70,  38,  60,  76,  62,  57,  66,  87,  68,  40,  28,  37,  78,  53,  67,  69,  58,  46,  76   ]
[45,  41,  66,  49,  39,  16,  54,  20,  22,  52,  81,  29,  26,  39,  64,  70,   0,  42,  70,  28,  20,  14,  83,  22,  45,  74,  61,  34,   9,  22,   8,  32,  17,  24,  44   ]
[64,  26,  42,  81,  69,  58,  48,  29,  23,  44,  48,  16,  16,  36,  38,  38,  42,   0,  35,  38,  27,  28,  47,  54,  30,  32,  19,  14,  51,  20,  43,  31,  39,  21,  38   ]
[71,  61,  69, 115, 103,  86,  82,  62,  48,  77,  64,  42,  47,  71,  16,  60,  70,  35,   0,  53,  51,  58,  12,  73,  31,  23,  32,  49,  78,  50,  75,  44,  73,  55,  39   ]
[26,  53,  76,  77,  67,  40,  72,  37,  18,  70,  86,  24,  27,  57,  42,  76,  28,  38,  53,   0,  15,  26,  64,  21,  22,  64,  56,  40,  31,  24,  36,   9,  41,  34,  18   ]
[40,  39,  62,  68,  57,  35,  58,  22,   4,  55,  73,  12,  13,  42,  45,  62,  20,  27,  51,  15,   0,  12,  63,  26,  26,  57,  46,  26,  27,  10,  26,  14,  28,  20,  26   ]
[49,  30,  55,  58,  47,  30,  47,  11,  12,  45,  68,  16,  12,  31,  54,  57,  14,  28,  58,  26,  12,   0,  70,  31,  36,  60,  46,  21,  23,   9,  16,  26,  17,  11,  38   ]
[81,  71,  77, 127, 115,  98,  91,  74,  60,  87,  69,  54,  59,  81,  24,  66,  83,  47,  12,  64,  63,  70,   0,  85,  42,  26,  40,  60,  90,  62,  87,  55,  85,  67,  49   ]
[25,  60,  85,  64,  56,  24,  75,  40,  30,  74,  98,  38,  39,  60,  63,  87,  22,  54,  73,  21,  26,  31,  85,   0,  43,  83,  73,  51,  18,  35,  29,  30,  38,  42,  38   ]
[41,  54,  72,  94,  83,  59,  76,  45,  25,  72,  76,  23,  29,  61,  20,  68,  45,  30,  31,  22,  26,  36,  42,  43,   0,  46,  43,  40,  51,  30,  51,  14,  53,  39,   9   ]
[87,  51,  51, 111, 100,  90,  69,  60,  54,  64,  43,  46,  48,  62,  37,  40,  74,  32,  23,  64,  57,  60,  26,  83,  46,   0,  17,  44,  83,  52,  76,  55,  71,  53,  55   ]
[81,  34,  37,  95,  84,  76,  52,  45,  42,  48,  34,  34,  35,  45,  42,  28,  61,  19,  32,  56,  46,  46,  40,  73,  43,  17,   0,  28,  69,  39,  61,  48,  56,  38,  52   ]
[66,  14,  36,  67,  56,  49,  36,  17,  23,  32,  48,  18,  13,  22,  51,  37,  34,  14,  49,  40,  26,  21,  60,  51,  40,  44,  28,   0,  43,  16,  33,  36,  27,  10,  46   ]
[43,  49,  74,  47,  38,   8,  60,  28,  30,  59,  89,  37,  35,  46,  71,  78,   9,  51,  78,  31,  27,  23,  90,  18,  51,  83,  69,  43,   0,  31,  13,  38,  23,  33,  49   ]
[50,  29,  52,  66,  55,  38,  49,  15,   7,  46,  64,   8,   4,  33,  46,  53,  22,  20,  50,  24,  10,   9,  62,  35,  30,  52,  39,  16,  31,   0,  25,  22,  24,  10,  33   ]
[53,  37,  62,  42,  32,  16,  48,  17,  27,  47,  78,  33,  28,  34,  70,  67,   8,  43,  75,  36,  26,  16,  87,  29,  51,  76,  61,  33,  13,  25,   0,  39,  10,  24,  51   ]
[33,  50,  71,  81,  71,  46,  70,  36,  15,  67,  79,  18,  23,  55,  34,  69,  32,  31,  44,   9,  14,  26,  55,  30,  14,  55,  48,  36,  38,  22,  39,   0,  43,  32,  12   ]
